key,lat,lon,plus,fips
Alabama|Tillman's Corner,30.5901929,-88.1708352,862HHRRH+3M,01097
Alaska|Anchorage,61.2180556,-149.9002778,93HG639X+6V,021020
Alaska|Anchorage and Shipboard,61.2180556,-149.9002778,93HG639X+6V,021020
"Alaska|Creamer's Field, Fairbanks",64.8377778,-147.7163888,93PJR7QM+4C,021090
Alaska|Denali National Park,63.1148029,-151.1925951,93MC4R74+WX,021068
Alaska|Glacier Bay National Park,58.4556812,-135.8862447,94C6F447+7G,021105
"Alaska|Hubbard Glacier, Yakutat Bay",59.6703672,-139.8590821,94F2M4CR+49,021282
Alaska|Juneau,58.3019444,-134.4197221,94C78H2J+Q4,021110
Alaska|Ketchikan,55.3422222,-131.6461112,947C89R3+VH,021130
Alaska|McKinley Lodge,63.6515264,-148.8162163,93MHM52M+JG,021068
Alaska|Nanana,64.5414732,-149.1302763,93PGGVR9+HV,021290
"Alaska|Pioneer Park, Fairbanks",64.8377778,-147.7163888,93PJR7QM+4C,021090
"Alaska|Princess Riverside Lodge, Fairbanks",64.8377778,-147.7163888,93PJR7QM+4C,021090
"Alaska|Riverboat, Chena River, Fairbanks",64.8377778,-147.7163888,93PJR7QM+4C,021090
Alaska|Skagway,59.4583333,-135.313889,94F6FM5P+8C,021105
"Alaska|Visitor's Center, Fairbanks",64.8377778,-147.7163888,93PJR7QM+4C,021090
"Arizona|Apache Junction, Arizona",33.4150485,-111.5495777,855CCF82+25,04021
Arizona|Arizona,,,,
"Arizona|Arizona Sonora Desert Museum, Arizona",32.244013,-111.168174,854C6RVJ+JP,04019
"Arizona|Beadie's B&B, Sierra Vista",31.5455001,-110.2772856,853FGPWF+63,04003
Arizona|Benson,31.9678611,-110.2945174,853FXP94+45,04003
"Arizona|Environmental Operation Park, Sierra Vista",31.5455001,-110.2772856,853FGPWF+63,04003
"Arizona|Garden Canyon, Sierra Vista",31.5155418,-110.3284673,853FGM8C+6J,04003
"Arizona|Grand Canyon, Arizona",36.0544445,-112.1401108,85893V35+QX,04005
"Arizona|Herb Martyr, Portal",31.9137028,-109.1414495,853GWV75+FC,04003
"Arizona|Herb Martyr, SWRS",31.9137028,-109.1414495,853GWV75+FC,04003
"Arizona|Jasper House, Portal",31.9137028,-109.1414495,853GWV75+FC,04003
"Arizona|Kartchner Caverns State Park, Arizona",31.836596,-110.3488848,853FRMP2+JC,04003
Arizona|Kayenta,36.7277769,-110.2545767,858FPPHW+45,04017
Arizona|Madera Canyon,31.7250875,-110.8800869,853FP4G9+2X,04023
"Arizona|Madera Canyon - Josephine Saddle, Arizona",31.7250875,-110.8800869,853FP4G9+2X,04023
"Arizona|Madera Canyon, Arizona",31.7250875,-110.8800869,853FP4G9+2X,04023
Arizona|Monument Valley,36.9913715,-110.1938672,858FXRR4+GF,04017
"Arizona|Mt Lemmon, Arizona",32.443218,-110.7576749,854FC6VR+7W,04019
"Arizona|Navajo Bridge, Arizona",36.8176337,-111.6311681,858CR999+3G,04005
Arizona|Patagonia Lake State Park,31.488333,-110.85381,853FF4QW+8F,04023
"Arizona|Patagonia Lake State Park, Patagonia",31.488333,-110.85381,853FF4QW+8F,04023
"Arizona|Patagonia Sonoita Preserve, Patagonia",31.488333,-110.85381,853FF4QW+8F,04023
"Arizona|Patagonia Sonoita Preserve, Patagonia, AZ",31.488333,-110.85381,853FF4QW+8F,04023
"Arizona|Paton House, Patagonia",31.488333,-110.85381,853FF4QW+8F,04023
Arizona|Portal,31.9137028,-109.1414495,853GWV75+FC,04003
Arizona|Research Station near Portal,31.9137028,-109.1414495,853GWV75+FC,04003
"Arizona|Saguaro NP - East, Arizona",32.2967359,-111.166615,854C7RWM+M9,04019
"Arizona|Saguaro NP - West, Arizona",32.2888004,-111.1533456,854C7RQW+GM,04019
Arizona|Saguaro National Park,32.2888004,-111.1533456,854C7RQW+GM,04019
"Arizona|Saguaro National Park, Tuscon",32.2888004,-111.1533456,854C7RQW+GM,04019
Arizona|San Pedro House,31.5480151,-110.1415307,853FGVX5+69,04003
"Arizona|San Pedro House, Sierra Vista",31.5480151,-110.1415307,853FGVX5+69,04003
"Arizona|Sedona - Boynton Canyon, Arizona",34.9133015,-111.8521431,856CW47X+84,04025
"Arizona|Sedona - Cathedral Rock, Arizona",34.8200185,-111.7932108,856CR6C4+2P,04025
"Arizona|Sedona - Hannig, Arizona",34.8128568,-111.8308639,856CR579+4M,04025
"Arizona|Sedona - Red Rock SP, Arizona",34.8128568,-111.8308639,856CR579+4M,04025
"Arizona|Sonora Desert Museum, Tuscon",32.244013,-111.168174,854C6RVJ+JP,04019
Arizona|Sweetwater Marshlands,32.2788673,-111.0223157,854C7XHH+G3,04019
"Arizona|Sweetwater Marshlands, Tuscon",32.2788673,-111.0223157,854C7XHH+G3,04019
Arizona|Tucson,32.2217429,-110.926479,854F63CF+MC,04019
"Arizona|Tucson - Jacobson, Arizona",32.2217429,-110.926479,854F63CF+MC,04019
"Arizona|Tucson - La Paloma Golf Course, Arizona",32.2217429,-110.926479,854F63CF+MC,04019
"Arizona|Tucson - Ventana Canyon, Arizona",32.2217429,-110.926479,854F63CF+MC,04019
"Arizona|Tucson, Arizona",32.2217429,-110.926479,854F63CF+MC,04019
Arizona|US-AZ-Cave Creek Canyon--South Fork,34.0873069,-111.851004,856C34PX+WH,04025
